serial,refactoring,project,commit
91,Remove unused variable,Elasticsearch,"90f5bd5d635
"
92,Rename  class,Elasticsearch,"680774e7f27
"
93,Rename constants,Elasticsearch,"4e2389fb2cb
"
94,Rename method,Elasticsearch,"1b2e8cf5a2b
"
95,Rename method,Elasticsearch,"1c03489f469
"
96,Rename method,Elasticsearch,"2b175653d9f
"
97,Rename method,Elasticsearch,"50090f1a9c0
"
98,Rename method,Elasticsearch,"5cf8b94f300
"
99,Rename method,Elasticsearch,"680774e7f27
"
100,Rename method,Elasticsearch,"8582a18817e
"
101,Rename method,Elasticsearch,"d65461d7fbb
"
102,Rename parameter,Elasticsearch,"5c1e3e2c919
"
103,Rename parameter,Elasticsearch,"9f2d38856d3
"
104,Rename parameter,Elasticsearch,"b328982e373
"
105,Rename parameter,Elasticsearch,e23852736ef
106,Rename variable,Elasticsearch,"680774e7f27
"
107,Rename variable,Elasticsearch,"8582a18817e
"
108,Rename variable,Elasticsearch,"8773a1208ba
"
109,Replace anonymous class with lambda expression,Elasticsearch,"a5aae93b652
"
110,Replace collection.sort() with list.sort(),Elasticsearch,"850e88c5894
"
111,Replace collection.sort() with list.sort(),Elasticsearch,850e88c5894
112,Replace duplicated constant field,Elasticsearch,"9e5fbf6021a
"
113,Replace duplicated method,Elasticsearch,"df8202206a8
"
114,Replace for loop with foreach,Elasticsearch,"850e88c5894
"
115,Replace for loop with foreach,Elasticsearch,850e88c5894
116,Replace for with while,Elasticsearch,"cd38c3a28d4
"
117,Replace for with while,Elasticsearch,"cd38c3a28d5
"
118,Replace inner class with lambda expression,Elasticsearch,"a5aae93b652
"
119,Replace lambdas with method references,Elasticsearch,"f5f0cd25572
"
120,Replace method with method object,Elasticsearch,"2b03368639b
"
121,Replace wrapper object with primitive,Elasticsearch,"850e88c5894
"
122,Replace wrapper object with primitive,Elasticsearch,"850e88c5894
"
123,Replace wrapper object with primitive,Elasticsearch,"850e88c5894
"
124,switch to alternative implementation method,Elasticsearch,"70eb877528d
"
